"","CO_ID","CoName","Date","Close","Volume"
"2088","006205 ","FB SSE180_0  ",20130522,21.99,5417
"2089","0050   ","Yuanta Taiwan Top50",20130523,47.29,14865
"2090","0056   ","PTD          ",20130523,18.51,1381
"2091","006205 ","FB SSE180_0  ",20130523,21.84,6000
"2092","0050   ","Yuanta Taiwan Top50",20130524,47.16,6949
"2093","0056   ","PTD          ",20130524,18.38,633
"2094","006205 ","FB SSE180_0  ",20130524,21.6,5386
"2095","0050   ","Yuanta Taiwan Top50",20130527,47.58,3285
"2096","0056   ","PTD          ",20130527,18.43,266
"2097","006205 ","FB SSE180_0  ",20130527,21.6,5572
"2098","0050   ","Yuanta Taiwan Top50",20130528,47.41,2342
"2099","0056   ","PTD          ",20130528,18.51,311
"2100","006205 ","FB SSE180_0  ",20130528,21.58,5166
"2101","0050   ","Yuanta Taiwan Top50",20130529,47.83,7988
"2102","0056   ","PTD          ",20130529,18.58,307
"2103","006205 ","FB SSE180_0  ",20130529,22.05,6152
"2104","0050   ","Yuanta Taiwan Top50",20130530,47.25,8823
"2105","0056   ","PTD          ",20130530,18.41,639
"2106","006205 ","FB SSE180_0  ",20130530,21.8,4934
"2107","0050   ","Yuanta Taiwan Top50",20130531,47.25,9240
"2108","0056   ","PTD          ",20130531,18.42,232
"2109","006205 ","FB SSE180_0  ",20130531,21.95,5114
"2110","0050   ","Yuanta Taiwan Top50",20130603,47.04,6538
"2111","0056   ","PTD          ",20130603,18.38,428
"2112","006205 ","FB SSE180_0  ",20130603,21.8,7301
"2113","0050   ","Yuanta Taiwan Top50",20130604,46.96,4243
"2114","0056   ","PTD          ",20130604,18.29,396
"2115","006205 ","FB SSE180_0  ",20130604,21.63,10028
"2116","0050   ","Yuanta Taiwan Top50",20130605,46.96,3459
"2117","0056   ","PTD          ",20130605,18.25,251
"2118","006205 ","FB SSE180_0  ",20130605,21.56,6072
"2119","0050   ","Yuanta Taiwan Top50",20130606,46.38,15077
"2120","0056   ","PTD          ",20130606,18.05,1902
"2121","006205 ","FB SSE180_0  ",20130606,21.4,5667
"2122","0050   ","Yuanta Taiwan Top50",20130607,46.5,9058
"2123","0056   ","PTD          ",20130607,18,1124
"2124","006205 ","FB SSE180_0  ",20130607,20.99,6513
"2125","0050   ","Yuanta Taiwan Top50",20130610,46.87,3505
"2126","0056   ","PTD          ",20130610,18.14,339
"2127","006205 ","FB SSE180_0  ",20130610,20.84,5083
"2128","0050   ","Yuanta Taiwan Top50",20130611,46.75,4689
"2129","0056   ","PTD          ",20130611,18.01,595
"2130","006205 ","FB SSE180_0  ",20130611,20.82,5173
"2131","0050   ","Yuanta Taiwan Top50",20130613,45.63,33023
"2132","0056   ","PTD          ",20130613,17.74,3102
"2133","006205 ","FB SSE180_0  ",20130613,20.18,5513
"2134","0050   ","Yuanta Taiwan Top50",20130614,45.46,18099
"2135","0056   ","PTD          ",20130614,17.71,1826
"2136","006205 ","FB SSE180_0  ",20130614,20.31,5062
"2137","0050   ","Yuanta Taiwan Top50",20130617,45.75,5347
"2138","0056   ","PTD          ",20130617,17.8,647
"2139","006205 ","FB SSE180_0  ",20130617,20.3,5365
"2140","0050   ","Yuanta Taiwan Top50",20130618,45.96,8771
"2141","0056   ","PTD          ",20130618,17.84,828
"2142","006205 ","FB SSE180_0  ",20130618,20.28,5471
"2143","0050   ","Yuanta Taiwan Top50",20130619,45.88,6076
"2144","0056   ","PTD          ",20130619,17.89,207
"2145","006205 ","FB SSE180_0  ",20130619,20.1,5069
"2146","0050   ","Yuanta Taiwan Top50",20130620,45.01,25487
"2147","0056   ","PTD          ",20130620,17.74,1192
"2148","006205 ","FB SSE180_0  ",20130620,19.77,5253
"2149","0050   ","Yuanta Taiwan Top50",20130621,44.47,34639
"2150","0056   ","PTD          ",20130621,17.65,3143
"2151","006205 ","FB SSE180_0  ",20130621,19.6,5514
"2152","0050   ","Yuanta Taiwan Top50",20130624,44.3,21260
"2153","0056   ","PTD          ",20130624,17.58,1847
"2154","006205 ","FB SSE180_0  ",20130624,19.06,5566
"2155","0050   ","Yuanta Taiwan Top50",20130625,43.97,19437
"2156","0056   ","PTD          ",20130625,17.39,3658
"2157","006205 ","FB SSE180_0  ",20130625,18.09,9019
"2158","0050   ","Yuanta Taiwan Top50",20130626,44.55,9915
"2159","0056   ","PTD          ",20130626,17.53,1128
"2160","006205 ","FB SSE180_0  ",20130626,18.49,6701
"2161","0050   ","Yuanta Taiwan Top50",20130627,45.09,22275
"2162","0056   ","PTD          ",20130627,17.77,562
"2163","006205 ","FB SSE180_0  ",20130627,18.76,5067
"2164","0050   ","Yuanta Taiwan Top50",20130628,45.71,13714
"2165","0056   ","PTD          ",20130628,17.86,1261
"2166","006205 ","FB SSE180_0  ",20130628,18.96,5157
"2167","0050   ","Yuanta Taiwan Top50",20130701,46.13,13788
"2168","0056   ","PTD          ",20130701,18.07,5514
"2169","006205 ","FB SSE180_0  ",20130701,18.96,4995
