CO_ID,CoName,Date,Close,Volume
006205 ,FB SSE180_0  ,20170725,   30.29,     1795
00646  ,S&P 500_6    ,20170725,   22.31,      137
0050   ,Yuanta Taiwan Top50,20170726,   76.38,     2357
0056   ,PTD          ,20170726,   23.79,      646
006205 ,FB SSE180_0  ,20170726,   30.08,     4347
00646  ,S&P 500_6    ,20170726,   22.44,       54
0050   ,Yuanta Taiwan Top50,20170727,   77.17,     2213
0056   ,PTD          ,20170727,   23.86,     1024
006205 ,FB SSE180_0  ,20170727,   30.06,     2630
00646  ,S&P 500_6    ,20170727,   22.36,      254
0050   ,Yuanta Taiwan Top50,20170728,   76.33,     4401
0056   ,PTD          ,20170728,   23.83,      758
006205 ,FB SSE180_0  ,20170728,   30.02,     2226
00646  ,S&P 500_6    ,20170728,   22.22,      130
0050   ,Yuanta Taiwan Top50,20170731,   76.28,     2806
0056   ,PTD          ,20170731,   23.74,      899
006205 ,FB SSE180_0  ,20170731,   30.20,     1559
00646  ,S&P 500_6    ,20170731,   22.28,      169
0050   ,Yuanta Taiwan Top50,20170801,   76.71,     2642
0056   ,PTD          ,20170801,   23.84,      863
006205 ,FB SSE180_0  ,20170801,   30.31,     3505
00646  ,S&P 500_6    ,20170801,   22.26,       72
0050   ,Yuanta Taiwan Top50,20170802,   77.36,     5045
0056   ,PTD          ,20170802,   23.91,     1462
006205 ,FB SSE180_0  ,20170802,   30.56,     3471
00646  ,S&P 500_6    ,20170802,   22.35,      110
0050   ,Yuanta Taiwan Top50,20170803,   77.08,     4029
0056   ,PTD          ,20170803,   23.87,      849
006205 ,FB SSE180_0  ,20170803,   30.37,     2444
00646  ,S&P 500_6    ,20170803,   22.34,      181
0050   ,Yuanta Taiwan Top50,20170804,   77.22,     1143
0056   ,PTD          ,20170804,   23.92,     1126
006205 ,FB SSE180_0  ,20170804,   30.30,     1867
00646  ,S&P 500_6    ,20170804,   22.26,       33
0050   ,Yuanta Taiwan Top50,20170807,   77.78,     4108
